,Review,Rank
0,초중반부는 탄탄한 연기력과 생생한 비행기 연출로 상당히 흥미롭고 긴장감있게 흘러갑니다. 하지만 후반부에 들어설 수록 영화에 집중하기 힘들었습니다. 재난 영화 특성상 신파를 어느정도 감안하고 갔지만 신파가 뜬금없이 등...,2
1,어줍잖게 사회적 메세지 넣으려다 영화 망가졌다 ,2
2,"잘가다가 무리한 반미, 반일과 억지스러운 신파, 무리한 설정이 영화를 산으로 보냅니다. 보면서 계속 어이없는 웃음이 나와요. 진짜 억지 눈물 짜낼때는 하.... 배우들이 너무 아깝네요 ",2
3,이 영화가 칸으로 갔다는게 부끄럽다 ,1
4,긴장감을 가장한 답답함으로 가득 찬 졸작. 한국이 잘한다는 신파도 제대로 사용하지 못하는 모습. 관객에게 고구마를 미친듯이 먹여놓고 왜 물 한 모금 안주는지.... ,1
5,"극 중에서 일본 미국 정부 멋있다. 타국에게 욕먹어도 자국민의 안전을 최우선으로 생각한다면 그게 맞다.  자국 공무원의 결단은 멋있게, 타국 공무원의 결단은 악당처럼… 어떻게든 관객에게 감성팔이, 반일감정 넣으려는게...",2
6,전반은 좋았으나 후반은 그냥 명배우들 데려다가 뻔한 신파극을 찍어놓음 ,6
7,굳이 이렇게 길게 만들었어야할까? 뒤로 갈수록 제발 그만하라고 소리 지르고싶었음. 차라리 한산을 한 번 더 보는게 나음 ,1
8,초반에는 스릴러인줄 알았지망 중간부터 늘어지고 신파 범벅 ,6
9,초호화 배우진만 볼만하다 ,3
10,축구로 치면 전반에 3골 넣고 후반에 4골 먹은 느낌이랄까 ,5
11,역시 반미 반일 빠지면 섭하지 ~ 의도가 너무 보이는데요 감독님 ,1
12,"보지 마세요. 특히 의사, 간호사분들과 항공 승무원 분들은 절대 보지 마세요. 초반 20분 재미있습니다. 그 후 100분은 내내 티켓값이 아깝고요. 전도연, 송강호, 김남길, 김소진의 연기조차도 빛이 바랬고, 임시완...",1
13,"화려한 이륙과 초라한 착륙, 그리고 행방불명된 제목 ",6
14,비상선언? 이 영화가 한국 영화계에 비상이다 진짜; ,4
15,감독이 하고 싶은말이 반미 반일 반정부 말고 뭐임 이런  정치선동영화가 요즘도 통한다고 생각하나 관객들 수준을 너무 무시하는구먼 ,1
16,단 한명의 무모한 임상실험을 가지고 바로 백신 상용화 시켜버리는 클라쓰... ,1
17,외계인은 피했는데 이걸 못피했네. 한재림 감독 믿고 오늘 개봉날 조조로 보고 방금 나왔습니다. 최악이네요. ,1
18,용두사미 이 네글자로 표현된다 ,2
19,와 해피에로 크리스마스급이네 진짜 ㅈㄴ재미없음 웬만해선 이렇게말안하는데 진짜 개재미없음 극장에서 본영화중에 탑3로 재미없네....연출 스토리 10망  임시완때문에 2점 ,2
20,"임시완을 좋아하는건 아니지만, 임시완 나올때까지만 재밌었다.... 초반까지는 괜찮은 작품이 될수있을거라 생각했는데... 참 여러모로 너무 아쉬웠던 영화. ",6
21,"초반 1시간까지는 정말 재미있고 몰입도가 높았는데, 그 이후 반미와 반일, 억지 신파, 감성팔이에 공무원 미화 느낌까지..참 아쉽네요 ",4
22,제목이 대체 왜 비상선언? 비상선언 선포해서 되는게 하나도없는데..차라리 진격의형사가 나을듯 ,1
23,감독님... 왜 그렇게 욕심을 부리셨는지..온갖 내용 다 집어넣으려다 이렇게 정신머리 없는 영화는 또 처음이네 ,1
24,감독은 뭔 자신감으로 화면에 본인작품이라고 내세우냐 ㅋㅋㅋㅋ ,1
25,억지감동과 억지연출ㅠㅠㅠㅠ쉽게 해결할 문제를 극적 장면 연출하려고 꾸역꾸역 이어나간다. ,5
26,임시완이 안보이면 비상선언입니다 그대로 자리를 박차고 나와주세요 ,4
27,임시완 나올때만 재밌었음.. ,5
28,10노잼 입니다 진짜 입니다 ,1
29,흔하디 흔한 신파영화 입니다 ,2
30,"공감이 가야, 납득이 가야 눈물이 나오는 거죠 ",5
31,후반부는 다른사람이 편집한줄 알았어요 그정도로...감독님이 판단을 잘 못 하신듯말도안되는 상황이 나열 될 수록 몰입도가 떨어져요 ,1
32,이 영화가 비상이다.. ,4
33,그냥 평범한 한국 산업영화.. 개연성도 부족한거같아요 연기들은 휼룡했어요 ,5
34,"도저히 납득가지 않는 엔딩.이 배우진으로 이렇게 찍었어야 했나?아이돌 출신 배우의 연기력이라는 편견만 깨진,임시완만 빛났던 영화 같다 ",5
35,"초호화 배우진, 뭐 좋아요 근데 갈수록 뇌절에 씹절.... ",2
36,감독의 퇴보...너무 실망이네요. 좋은 배우들 모아 놓고 재난영화 대충 만들면 어쩝니까.  관객들 눈이 높아졌는데..한산만 계속 떠오르고..cj  폭망입니다.송강호님  영화 선택 실패구요  병헌님 전도연씨 전형적인 ...,2
37,"감독님 이렇게 영화를 만들어야 속이 시원하셨나요?억지 신파, 억지 설정 제발 그만 합시다. ",5
38,와 억지스럽다 감독이 반미 반일 감정을 꾸겨 넣었다는 사실을 안 순간 확깻다.시간내서 볼 작품이 아니다 너무 아니다 뭐냐 진짜  좌파 영화 만들고 ,2
39,초반 1시간 반은 긴장감 있고 좋았다. 예고편에 나온 장면 중에 편집된 부분이 있는 것 같다. 그런데 후반 50분부터 말도 안되는 신파로 빠지더니 마지막 20분은 오글거려서 견딜수가 없었다. ,5
40,신파가 장점마저 다 갉아먹는다 ,6
41,와 내돈....아이맥스 ,2
42,송강호 경찰 수사 레벨부터가 쎄~~했음. 언제적 살인의 추억마냥 주먹구구식으로 수사하는 시나리오라니.. 예상은 빗나가질 않고 최악의 전개..ㅠ전도연이 국토부장관임을 밝히는 씬에서는 레알 헛웃음만 나오는 개연성..ㅠㅠ...,1
43,"출연진들 때문에 기대하고 보러 갔는데,중간부터 극장 밖으로 뛰쳐나가고 싶었어요. 쥐어짜는듯한 전개와 말도안되는 스토리 때문에 이입 불가... 해도해도 너무한듯 ㅠㅠㅠ ",2
44,재미없으면 제발 짧게 만들어라..재미도 없으면서 길긴 드럽게 길다 ,5
45,와....지루해 죽는 줄 ,1
46,흥미로운 소재를 끝까지 이끌어가지 못한채 추락한다 ,2
47,소문난 잔치에 먹을 거 없다...배우들 팬심으로 봤는데.. 진짜... 감독님 이게 최선입니까... ,4
48,임시완만...  빛난 영화 ,5
49,"진짜 오랜만에 영화보다가 참다참다 구역질이 나서 중간에 나왔다. 우연으로 점철된 떨어지는 개연성, 황당무계한 설정의 연속, 황당한 방향으로 치닫는 이야기 전개, 막판에 허접스러운 신파로 관객이 감동의 눈물이라도 흘려...",1
50,언제까지 신파에 의존할 건가? ,4
51,"전후반  다른 영화 같고 후반부 억지가 심해 나오고 싶고 지겨움, ",1
